"ID"	"Completeness"	"Contamination"	"Strain.heterogeneity"	"# contigs (>= 0 bp)"	"# contigs (>= 1000 bp)"	"# contigs (>= 5000 bp)"	"# contigs (>= 10000 bp)"	"# contigs (>= 25000 bp)"	"# contigs (>= 50000 bp)"	"Total length (>= 0 bp)"	"Total length (>= 1000 bp)"	"Total length (>= 5000 bp)"	"Total length (>= 10000 bp)"	"Total length (>= 25000 bp)"	"Total length (>= 50000 bp)"	"# contigs"	"Largest contig"	"Total length"	"GC (%)"	"N50"	"N90"	"auN"	"L50"	"L90"	"# N's per 100 kbp"	"o_antigen"	"h1"	"serogroup"	"serovar"	"Predicted.antigenic.profile"	"Predicted.serotype"	"ST"
"191"	"SRR33745408"	99.71	0.07	0	63	39	27	26	20	15	4978831	4970260	4941834	4935543	4823771	4626597	46	744684	4975056	52.06	405540	76883	423216	5	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"192"	"SRR33916996"	99.71	0.07	0	64	32	25	22	20	14	4841795	4832152	4815397	4798149	4766195	4545279	39	678838	4836333	52.12	405539	153576	384610.6	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"193"	"SRR33917023"	99.71	0.15	0	68	37	28	24	22	16	4856285	4846457	4825910	4803613	4775571	4551556	45	678980	4851458	52.12	331737	88873	357067	6	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"194"	"SRR33917025"	99.71	0.07	0	60	32	25	22	20	16	4797002	4788480	4770693	4753543	4714981	4564765	39	494164	4792661	52.12	331762	153576	335787.4	6	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"195"	"SRR33917028"	99.71	0.15	0	62	33	23	21	19	15	4849409	4840660	4816894	4806037	4767504	4597378	39	745297	4844329	52.12	401535	153576	421295.4	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"196"	"SRR7962276"	96.47	0.07	0	37	31	29	27	24	19	4636574	4634351	4631010	4619516	4571212	4384966	33	778364	4635429	52.18	271482	76929	364654	5	16	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"-"
"197"	"SRR8333783"	99.71	0.07	0	30	28	26	24	23	19	4806342	4805751	4796443	4785020	4772811	4636773	28	713178	4805751	52.13	361082	77759	365243.6	5	15	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"198"	"SRR8767040"	99.71	0.29	0	134	108	89	77	60	35	4825153	4817686	4766086	4686137	4417356	3535802	113	337255	4820731	52.24	89172	25743	102591	18	57	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"199"	"SRR8952510"	99.71	0.07	0	73	34	23	23	22	18	4834578	4825580	4796729	4796729	4784907	4643796	39	746240	4828647	52.11	401499	88873	382755.9	5	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"200"	"SRR9016858"	99.41	0.15	0	109	82	73	66	52	38	4808739	4800524	4773471	4729956	4487799	3981448	88	219000	4804390	52.22	96612	31649	106024.5	17	47	0	"1,9,12[Vi]"	"g,p"	"-"	"Dublin"	"-:g,p:-"	"I -:g,p:-"	"10"
"201"	"SRR9016861"	99.71	0.07	0	76	47	39	35	29	24	4854677	4846217	4824605	4798326	4686312	4482793	53	401526	4849886	52.14	262195	61496	235858	8	22	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
